"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Brood Year YYYY","Rear Type Code","Rear Type Name","First Obs Date Max","Last Obs Date Min"
"3DD.003E11B3AB","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3AC","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3AD","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B3AF","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B3B2","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B3C8","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3CB","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B3CF","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B3D2","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3E1","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B3E3","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B3E5","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3EE","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B3F1","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3F4","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3FC","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B40A","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B40E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B410","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B420","EHL - Entiat NFH Adult Ladder","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","08/15/2022","08/16/2022"
"3DD.003E11B420","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","08/13/2022","08/13/2022"
"3DD.003E11B422","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B42C","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B434","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B436","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B43B","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B43C","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B449","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B454","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B466","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B469","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B46A","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/18/2022","04/18/2022"
"3DD.003E11B46F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B482","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B484","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B485","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B488","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B48E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B491","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B49B","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
